hgdp_id,population_id,population_name,country_of_origin,geo_region_of_origin,genotyping_id,sex
794,20,Orcadian,OrkneyIslands,EUROPE,938,F
795,20,Orcadian,OrkneyIslands,EUROPE,939,M
796,20,Orcadian,OrkneyIslands,EUROPE,940,F
797,20,Orcadian,OrkneyIslands,EUROPE,941,F
798,20,Orcadian,OrkneyIslands,EUROPE,942,M
799,20,Orcadian,OrkneyIslands,EUROPE,943,F
800,20,Orcadian,OrkneyIslands,EUROPE,944,F
802,20,Orcadian,OrkneyIslands,EUROPE,946,F
804,20,Orcadian,OrkneyIslands,EUROPE,948,M
805,20,Orcadian,OrkneyIslands,EUROPE,949,F
806,20,Orcadian,OrkneyIslands,EUROPE,950,F
807,20,Orcadian,OrkneyIslands,EUROPE,951,M
808,20,Orcadian,OrkneyIslands,EUROPE,952,M
1381,21,Adygei,Russia-Caucasus,EUROPE,955,F
1382,21,Adygei,Russia-Caucasus,EUROPE,956,F
1385,21,Adygei,Russia-Caucasus,EUROPE,959,M
1386,21,Adygei,Russia-Caucasus,EUROPE,960,F
1387,21,Adygei,Russia-Caucasus,EUROPE,962,F
1388,21,Adygei,Russia-Caucasus,EUROPE,963,F
1396,21,Adygei,Russia-Caucasus,EUROPE,964,M
1397,21,Adygei,Russia-Caucasus,EUROPE,965,M
1398,21,Adygei,Russia-Caucasus,EUROPE,966,F
1399,21,Adygei,Russia-Caucasus,EUROPE,967,F
1400,21,Adygei,Russia-Caucasus,EUROPE,968,F
1401,21,Adygei,Russia-Caucasus,EUROPE,969,F
1402,21,Adygei,Russia-Caucasus,EUROPE,970,M
1403,21,Adygei,Russia-Caucasus,EUROPE,971,M
1404,21,Adygei,Russia-Caucasus,EUROPE,972,M
879,22,Russian,Russia,EUROPE,974,M
880,22,Russian,Russia,EUROPE,975,M
881,22,Russian,Russia,EUROPE,976,F
882,22,Russian,Russia,EUROPE,977,M
883,22,Russian,Russia,EUROPE,978,M
884,22,Russian,Russia,EUROPE,979,F
885,22,Russian,Russia,EUROPE,980,F
886,22,Russian,Russia,EUROPE,981,M
887,22,Russian,Russia,EUROPE,982,M
888,22,Russian,Russia,EUROPE,983,M
889,22,Russian,Russia,EUROPE,984,F
891,22,Russian,Russia,EUROPE,986,M
892,22,Russian,Russia,EUROPE,987,M
893,22,Russian,Russia,EUROPE,988,M
894,22,Russian,Russia,EUROPE,989,M
895,22,Russian,Russia,EUROPE,990,M
896,22,Russian,Russia,EUROPE,991,M
897,22,Russian,Russia,EUROPE,992,M
898,22,Russian,Russia,EUROPE,993,F
899,22,Russian,Russia,EUROPE,994,F
900,22,Russian,Russia,EUROPE,995,M
901,22,Russian,Russia,EUROPE,996,F
902,22,Russian,Russia,EUROPE,997,F
903,22,Russian,Russia,EUROPE,998,F
1357,24,Basque,France,EUROPE,861,M
1358,24,Basque,France,EUROPE,862,M
1359,24,Basque,France,EUROPE,863,M
1360,24,Basque,France,EUROPE,864,M
1361,24,Basque,France,EUROPE,866,M
1362,24,Basque,France,EUROPE,867,M
1363,24,Basque,France,EUROPE,868,F
1364,24,Basque,France,EUROPE,869,M
1365,24,Basque,France,EUROPE,870,F
1366,24,Basque,France,EUROPE,871,F
1367,24,Basque,France,EUROPE,872,F
1368,24,Basque,France,EUROPE,873,F
1369,24,Basque,France,EUROPE,874,F
1370,24,Basque,France,EUROPE,875,M
1371,24,Basque,France,EUROPE,876,M
1372,24,Basque,France,EUROPE,878,M
